paperId,cites D1,cites D2,cites D3,title,abstract,year,venue,arxivId,doi,pdfUrl
01f3f0293c2a13bc122088e837b513a123f37c70,1,0,0,Multi-object Tracking with Neural Gating Using Bilinear LSTM,"In recent deep online and near-online multi-object tracking approaches, a difficulty has been to incorporate long-term appearance models to efficiently score object tracks under severe occlusion and multiple missing detections. In this paper, we propose a novel recurrent network model, the Bilinear LSTM, in order to improve the learning of long-term appearance models via a recurrent network. Based on intuitions drawn from recursive least squares, Bilinear LSTM stores building blocks of a linear predictor in its memory, which is then coupled with the input in a multiplicative manner, instead of the additive coupling in conventional LSTM approaches. Such coupling resembles an online learned classifier/regressor at each time step, which we have found to improve performances in using LSTM for appearance modeling. We also propose novel data augmentation approaches to efficiently train recurrent models that score object tracks on both appearance and motion. We train an LSTM that can score object tracks based on both appearance and motion and utilize it in a multiple hypothesis tracking framework. In experiments, we show that with our novel LSTM model, we achieved state-of-the-art performance on near-online multiple object tracking on the MOT 2016 and MOT 2017 benchmarks.",2018,ECCV,,10.1007/978-3-030-01237-3_13,http://web.engr.oregonstate.edu/~lif/1925.pdf
01fc14785c7efd1f528dc9def1b058f7ad3f42e9,0,1,0,Person Search by Separated Modeling and A Mask-Guided Two-Stream CNN Model,"In this work, we tackle the problem of person search, which is a challenging task consisted of pedestrian detection and person re-identification (re-ID). Instead of sharing representations in a single joint model, we find that separating detector and re-ID feature extraction yields better performance. In order to extract more representative features for each identity, we segment out the foreground person from the original image patch. We propose a simple yet effective re-ID method, which models foreground person and original image patches individually, and obtains enriched representations from two separate CNN streams. We also propose a Confidence Weighted Stream Attention method which further re-adjusts the relative importance of the two streams by incorporating the detection confidence. Furthermore, we simplify the whole pipeline by incorporating semantic segmentation into the re-ID network, which is trained by bounding boxes as weakly-annotated masks and identification labels simultaneously. From the experiments on two standard person search benchmarks i.e. CUHK-SYSU and PRW, we achieve mAP of 83.3% and 32.8% respectively, surpassing the state of the art by a large margin. The extensive ablation study and model inspection further justifies our motivation.",2020,IEEE Transactions on Image Processing,,10.1109/TIP.2020.2973513,
020dc284dd062ef6fed4659df539d79eac3043c2,0,0,1,Joint graph regularized dictionary learning and sparse ranking for multi-modal multi-shot person re-identification,"Abstract The promising achievement of sparse ranking in image-based recognition gives rise to a number of development on person re-identification (Re-ID) which aims to reconstruct the probe as a linear combination of few atoms/images from an over-complete dictionary/gallery. However, most of the existing sparse ranking based Re-ID methods lack considering the geometric relationships between probe, gallery, and cross-modal images of the same person in multi-shot Re-ID. In this paper, we propose a novel joint graph regularized dictionary learning and sparse ranking method for multi-modal multi-shot person Re-ID. First, we explore the probe-based geometrical structure by enforcing the smoothness between the codings/coefficients, which refers to the multi-shot images from the same person in probe. Second, we explore the gallery-based geometrical structure among gallery images, which encourages the multi-shot images from the same person in the gallery making similar contributions while reconstructing a certain probe image. Third, we explore the cross-modal geometrical structure by enforcing the smoothness between the cross-modal images and thus extend our model for the multi-modal case. Finally, we design an APG based optimization to solve the problem. Comprehensive experiments on benchmark datasets demonstrate the superior performance of the proposed model. The code is available at https://github.com/ttaalle/Lhc .",2020,Pattern Recognit.,,10.1016/j.patcog.2020.107352,
025b22d5daa5d115a039bd4003ea52100198d6f5,1,0,0,Unsupervised Domain Adaptation in the Dissimilarity Space for Person Re-identification,,2020,ArXiv,2007.1389,,https://arxiv.org/pdf/2007.13890.pdf
0290a9336dc1cbb589e1c6b70f2c55eedfcdaa12,1,0,0,Attention Network Robustification for Person ReID,"The task of person re-identification (ReID) has attracted growing attention in recent years with improving performance but lack of focus on real-world applications. Most state of the art methods use large pre-trained models, e.g., ResNet50 (~25M parameters), as their backbone, which makes it tedious to explore different architecture modifications. In this study, we focus on small-sized randomly initialized models which enable us to easily introduce network and training modifications suitable for person ReID public datasets and real-world setups. We show the robustness of our network and training improvements by outperforming state of the art results in terms of rank-1 accuracy and mAP on Market1501 (96.2, 89.7) and DukeMTMC (89.8, 80.3) with only 6.4M parameters and without using re-ranking. Finally, we show the applicability of the proposed ReID network for multi-object tracking.",2019,ArXiv,,,
02cf480fa940e833be5322132c1a19fe82bcdc3d,1,1,0,Attribute-Aware Pedestrian Image Editing,"Pedestrian image generation is a very challenging task. Existing generation methods have drawbacks including body distortion, inadequate visual details and large vague areas. In this paper, we propose Attribute-aware Pedestrian Image Editing (APIE) to address these problems based on given visual attributes. Our model denominated as APIE-Net, has three mechanisms including an attribute-aware segmentation network, a multi-scale discriminator and a latent-variable discriminator. Experiments on Market-1501 and DukeMTMC-reID datasets show that APIE-Net can generate satisfying pedestrian images with given attributes. Moreover, the generated images can augment the original datasets thus improve the performance in pedestrian-related tasks such as person re-identification (re-ID) and attribute prediction. Especially in person re-ID tasks our method outperforms state-of-the-art methods by a large margin.",2019,ICIG,,10.1007/978-3-030-34120-6_4,
02e97e65fd0ec9a6d98a255d0396eb796a5e444a,1,0,0,Online Multiple View Tracking: Targets Association Across Cameras,"Most multiple object tracking algorithms relying on a single view have failed to follow the trajectories of targets when they have been completely hidden by obstacles. In this paper, we introduce a novel method of collaborative tracking in a synchronized overlapping cameras network. We propose an efficient target association method between cameras based on the tracking results of each target on each view. Our framework naturally handles obstacle occlusions and mutual target occlusions. We implemented our multiple object tracking algorithm by Decision Making algorithm [30] on each view. The tracking outcomes on each camera are collected and associated into targets. The feedback from the central association helps the individual cameras in tracking hidden targets, even in the case of complete occlusion. We use the standard MOT metric to validate our method. The experimental results on each view show that the multiple view tracking system outperforms the single view ones. The source code will be available publicly.",2018,BMVC,,,http://bmvc2018.org/contents/workshops/vibe2018/VIBE004.pdf
0353fe24ecd237f4d9ae4dbc277a6a67a69ce8ed,1,1,0,Discriminative Feature Representation for Person Re-identification by Batch-contrastive Loss,"In the past few years, person re-identification (reID) has developed rapidly due to the success of deep convolutional neural networks. The softmax loss function is an important component for learning discriminative features. However, the classifier trained by the softmax loss is difficult to distinguish the hard samples. In this work, we introduce a new auxiliary loss function, called batch-contrastive loss, for person reID to further separate the features of different identities and pulls the features of same identity closer. Furthermore, the proposed loss function does not rely on the pairwise or triplet sampling which is commonly used in the Siamese model. We test our loss function on two large-scale person reID benchmarks, Market-1501 and DukeMTMC datasets. Under the combination of the batch-contrastive loss and the softmax loss, even only employing the generic L2-distance metric, we can achieve competitive results among the state-of-the-arts.",2018,ACML,,,https://pdfs.semanticscholar.org/0353/fe24ecd237f4d9ae4dbc277a6a67a69ce8ed.pdf
0397ea12f39e2e7939b0a22a732aff80fe83bd4e,1,0,0,Improving Performance of DeepCC Tracker by Background Comparison and Trajectory Refinement,"DukeMTMCT is the largest and most completely labeled dataset in Multi-Target Multi-Camera Tracking (MTMCT). We investigate a state-of-the-art work on DukeMTMCT named DeepCC, and dig out two main problems. The first problem is that the openpose is prone to false detection, which seriously affects performance. The second problem is that two different persons may be assigned with the same ID. According to the corresponding problems, we not only propose a method to measure the similarity between detected bounding box and its original background avoiding false detection caused by OpenPose, but also design a strategy to correct the tracking trajectories which are affected by the unreliability of the correlation matrix clustering method proposed by DeepCC. Our method outperforms the state-of-the-art on DukeMTMCT.",2019,2019 Twelfth International Conference on Ubi-Media Computing (Ubi-Media),,10.1109/Ubi-Media.2019.00042,
03b435223a85da8d8e6730a9dd39ab04fbd5feef,1,1,0,Self-Supervised Agent Learning for Unsupervised Cross-Domain Person Re-Identification,"Unsupervised person re-identification (Re-ID) has better scalability and practicability than supervised Re-ID in the actual deployment. However, it is difficult to learn a discriminative Re-ID model without annotations. To address the above issue, we propose an end-to-end Self-supervised Agent Learning (SAL) algorithm by exploiting a set of agents as a bridge to reduce domain gaps for unsupervised cross-domain person Re-ID. The proposed SAL model enjoys several merits. First, to the best of our knowledge, this is the first work to exploit self-supervised learning for unsupervised person Re-ID. Second, our model has designed three effective learning mechanisms including supervised label learning in source domain, similarity consistency learning in target domain, and self-supervised learning in cross domain, which can learn domain-invariant yet discriminative representations through the principled lens of agent learning by reducing domain discrepancy adaptively. Extensive experimental results on three standard benchmarks demonstrate that the proposed SAL performs favorably against state-of-the-art unsupervised person Re-ID methods.",2020,IEEE Transactions on Image Processing,,10.1109/TIP.2020.3016869,
03bcae84f89428978b78e363a4d295703bdd2982,1,1,1,Auto-ReID: Searching for a Part-Aware ConvNet for Person Re-Identification,"Prevailing deep convolutional neural networks (CNNs) for person re-IDentification (reID) are usually built upon ResNet or VGG backbones, which were originally designed for classification. Because reID is different from classification, the architecture should be modified accordingly. We propose to automatically search for a CNN architecture that is specifically suitable for the reID task. There are three aspects to be tackled. First, body structural information plays an important role in reID but it is not encoded in backbones. Second, Neural Architecture Search (NAS) automates the process of architecture design without human effort, but no existing NAS methods incorporate the structure information of input images. Third, reID is essentially a retrieval task but current NAS algorithms are merely designed for classification. To solve these problems, we propose a retrieval-based search algorithm over a specifically designed reID search space, named Auto-ReID. Our Auto-ReID enables the automated approach to find an efficient and effective CNN architecture for reID. Extensive experiments demonstrate that the searched architecture achieves state-of-the-art performance while reducing 50% parameters and 53% FLOPs compared to others.",2019,2019 IEEE/CVF International Conference on Computer Vision (ICCV),1903.09776,10.1109/ICCV.2019.00385,https://arxiv.org/pdf/1903.09776.pdf
03df42c643872aa664a7d6a8f5dbb12cbc3d09f3,1,1,0,An End-to-End Noise-Weakened Person Re-Identification and Tracking With Adaptive Partial Information,"Aiming to recognize persons of interest cross cameras in different locations, the technique of person re-identification (re-ID) has attracted unprecedented attention in the field of public security. However, most of the existing work ignores the influence of background noise and pedestrian’s partial information on recognition accuracy. Moreover, the tracking procedure which has a great importance on the real world is often stripped out of the re-ID framework. Therefore, this paper proposes an end-to-end noise-weakened person re-ID and tracking model with adaptive partial information. First, to suppress the background noise and improve the feature discriminability, Mask R-CNN is applied to extract the foreground “pedestrians” out of the complicated background for feature supplement. Second, an adaptive pose estimation model is proposed to make an in-depth analysis of every human body part, thus boosting the robustness against the posture change and individual difference. Finally, to fuse the tracking procedure, a scope prediction scheme based on the pedestrian’s moving speed is presented to replace the traditional full domain estimation approach, thus greatly reducing the computational complexity. The extensive experiments have been conducted and the results demonstrate that our method achieves 89.78% and 81.87% rank 1 accuracy on Market-1501 and DukeMTMC-reID with real-time tracking capability, which exhibits great superiority than the state-of-the-art methods.",2019,IEEE Access,,10.1109/ACCESS.2019.2899032,
03e3a13f03f44de0cb507d334b5ef22db6886abb,1,1,0,Isosceles Constraints for Person Re-Identification,"In the existing works of person re-identification (ReID), batch hard triplet loss has achieved great success. However, it only cares about the hardest samples within the batch. For any probe, there are massive mismatched samples (crucial samples) outside the batch which are closer than the matched samples. To reduce the disruptive influence of crucial samples, we propose a novel isosceles contraint for triplet. Theoretically, we show that if a matched pair has equal distance to any one of mismatched sample, the matched pair should be infinitely close. Motivated by this, the isosceles constraint is designed for the two mismatched pairs of each triplet, to restrict some matched pairs with equal distance to different mismatched samples. Meanwhile, to ensure that the distance of mismatched pairs are larger than the matched pairs, margin constraints are necessary. Minimizing the isosceles and margin constraints with respect to the feature extraction network makes the matched pairs closer and the mismatched pairs farther away than the matched ones. By this way, crucial samples are effectively reduced and the performance on ReID is improved greatly. Likewise, our isosceles contraint can be applied to quadruplet as well. Comprehensive experimental evaluations on Market-1501, DukeMTMC-reID and CUHK03 datasets demonstrate the advantages of our isosceles constraint over the related state-of-the-art approaches.",2020,IEEE Transactions on Image Processing,,10.1109/TIP.2020.3020648,
03f8b0e39b579ab4f2d15f3c64329bacd8280ecc,0,1,1,Temporal Complementary Learning for Video Person Re-Identification,"This paper proposes a Temporal Complementary Learning Network that extracts complementary features of consecutive video frames for video person re-identification. Firstly, we introduce a Temporal Saliency Erasing (TSE) module including a saliency erasing operation and a series of ordered learners. Specifically, for a specific frame of a video, the saliency erasing operation drives the specific learner to mine new and complementary parts by erasing the parts activated by previous frames. Such that the diverse visual features can be discovered for consecutive frames and finally form an integral characteristic of the target identity. Furthermore, a Temporal Saliency Boosting (TSB) module is designed to propagate the salient information among video frames to enhance the salient feature. It is complementary to TSE by effectively alleviating the information loss caused by the erasing operation of TSE. Extensive experiments show our method performs favorably against state-of-the-arts. The source code is available at this https URL.",2020,ECCV,2007.09357,10.1007/978-3-030-58595-2_24,https://arxiv.org/pdf/2007.09357.pdf
040c0612e0f006fa93f140ccb97b9738efcf74a5,1,1,1,One Shot Domain Adaptation for Person Re-Identification,"How to effectively address the domain adaptation problem is a challenging task for person re-identification (reID). In this work, we make the first endeavour to tackle this issue according to one shot learning. Given an annotated source training set and a target training set that only one instance for each category is annotated, we aim to achieve competitive re-ID performance on the testing set of the target domain. To this end, we introduce a similarity-guided strategy to progressively assign pseudo labels to unlabeled instances with different confidence scores, which are in turn leveraged as weights to guide the optimization as training goes on. Collaborating with a simple self-mining operation, we make significant improvement in the domain adaptation tasks of re-ID. In particular, we achieve the mAP of 71.5% in the adaptation task of DukeMTMC-reID to Market1501 with one shot setting, which outperforms the state-of-arts of unsupervised domain adaptation more than 17.8%. Under the five shots setting, we achieve competitive accuracy of the fully supervised setting on Market-1501. Code will be made available.",2018,,1811.10144,,https://arxiv.org/pdf/1811.10144.pdf
041b96260d58b4604d6509e9e70d69e205062136,1,0,0,Progressive Multi-stage Feature Mix for Person Re-Identification.,"Image features from a small local region often give strong evidence in person re-identification task. However, CNN suffers from paying too much attention on the most salient local areas, thus ignoring other discriminative clues, e.g., hair, shoes or logos on clothes. %BDB proposes to randomly drop one block in a batch to enlarge the high response areas. Although BDB has achieved remarkable results, there still room for improvement. In this work, we propose a Progressive Multi-stage feature Mix network (PMM), which enables the model to find out the more precise and diverse features in a progressive manner. Specifically, 1. to enforce the model to look for different clues in the image, we adopt a multi-stage classifier and expect that the model is able to focus on a complementary region in each stage. 2. we propose an Attentive feature Hard-Mix (A-Hard-Mix) to replace the salient feature blocks by the negative example in the current batch, whose label is different from the current sample. 3. extensive experiments have been carried out on reID datasets such as the Market-1501, DukeMTMC-reID and CUHK03, showing that the proposed method can boost the re-identification performance significantly.",2020,,2007.08779,,https://arxiv.org/pdf/2007.08779.pdf
04d1dd61f10d74fdda3410afceb7eef07a67dcf0,1,1,0,PH-GCN: Person Re-identification with Part-based Hierarchical Graph Convolutional Network,"The person re-identification (Re-ID) task requires to robustly extract feature representations for person images. Recently, part-based representation models have been widely studied for extracting the more compact and robust feature representations for person images to improve person Re-ID results. However, existing part-based representation models mostly extract the features of different parts independently which ignore the relationship information between different parts. To overcome this limitation, in this paper we propose a novel deep learning framework, named Part-based Hierarchical Graph Convolutional Network (PH-GCN) for person Re-ID problem. Given a person image, PH-GCN first constructs a hierarchical graph to represent the pairwise relationships among different parts. Then, both local and global feature learning are performed by the messages passing in PH-GCN, which takes other nodes information into account for part feature representation. Finally, a perceptron layer is adopted for the final person part label prediction and re-identification. The proposed framework provides a general solution that integrates local, global and structural feature learning simultaneously in a unified end-to-end network. Extensive experiments on several benchmark datasets demonstrate the effectiveness of the proposed PH-GCN based Re-ID approach.",2019,ArXiv,1907.08822,,https://arxiv.org/pdf/1907.08822.pdf
05301ac3ff2d1c0af7bcf3d2f1abcae044a75948,1,0,0,An Event-Driven Multiple Objects Surveillance System 35,"Traditional surveillance systems are constrained because of a fixed and preset pattern of monitoring. It can reduce the reliability of the system and cause an increased generation of false alarms. It results in an increased processing activity of the system, which causes an augmented consumption of system resources and power. Within this framework, a human surveillance system is proposed based on the event-driven awakening and self-organization principle. The proposed system overcomes these downsides up to a certain level. It is achieved by intelligently merging an assembly of sensors with two cameras, actuators, a lighting module and cost-effective embedded processors. With the exception of low-power event detectors, all other system modules remain in the sleep mode. These modules are activated only upon detection of an event and as a function of the sensing environment condition. It reduces power consumption and processing activity of the proposed system. An effective combination of a sensor assembly and a robust classifier suppresses generation of false alarms and improves system reliability. An experimental setup is realized in order to verify the functionality of the proposed system. Results confirm proper functionality of the implemented system. A 62.3-fold system memory utilization and bandwidth consumption reduction compared to traditional counterparts is achieved, i.e. a result of the proposed system self-organization and event-driven awakening features. It confirms that the proposed system outperforms its classical counterparts in terms of processing activity, power consumption and usage of resources.",2018,,,,https://pdfs.semanticscholar.org/0530/1ac3ff2d1c0af7bcf3d2f1abcae044a75948.pdf
0545c16ac10981cf2d36e96f145815b8d81344a1,0,1,0,Crossing Generative Adversarial Networks for Cross-View Person Re-identification,"Person re-identification (\textit{re-id}) refers to matching pedestrians across disjoint yet non-overlapping camera views. The most effective way to match these pedestrians undertaking significant visual variations is to seek reliably invariant features that can describe the person of interest faithfully. Most of existing methods are presented in a supervised manner to produce discriminative features by relying on labeled paired images in correspondence. However, annotating pair-wise images is prohibitively expensive in labors, and thus not practical in large-scale networked cameras. Moreover, seeking comparable representations across camera views demands a flexible model to address the complex distributions of images. In this work, we study the co-occurrence statistic patterns between pairs of images, and propose to crossing Generative Adversarial Network (Cross-GAN) for learning a joint distribution for cross-image representations in a unsupervised manner. Given a pair of person images, the proposed model consists of the variational auto-encoder to encode the pair into respective latent variables, a proposed cross-view alignment to reduce the view disparity, and an adversarial layer to seek the joint distribution of latent representations. The learned latent representations are well-aligned to reflect the co-occurrence patterns of paired images. We empirically evaluate the proposed model against challenging datasets, and our results show the importance of joint invariant features in improving matching rates of person re-id with comparison to semi/unsupervised state-of-the-arts.",2019,Neurocomputing,1801.0176,10.1016/j.neucom.2019.01.093,https://arxiv.org/pdf/1801.01760.pdf
056adbf0b00ff13dae94c0a5b02bb7cb180794c0,1,0,0,Learning Non-Uniform Hypergraph for Multi-Object Tracking,"The majority of Multi-Object Tracking (MOT) algorithms based on the tracking-by-detection scheme do not use higher order dependencies among objects or tracklets, which makes them less effective in handling complex scenarios. In this work, we present a new near-online MOT algorithm based on non-uniform hypergraph, which can model different degrees of dependencies among tracklets in a unified objective. The nodes in the hypergraph correspond to the tracklets and the hyperedges with different degrees encode various kinds of dependencies among them. Specifically, instead of setting the weights of hyperedges with different degrees empirically, they are learned automatically using the structural support vector machine algorithm (SSVM). Several experiments are carried out on various challenging datasets (i.e., PETS09, ParkingLot sequence, SubwayFace, and MOT16 benchmark), to demonstrate that our method achieves favorable performance against the state-of-the-art MOT methods.",2019,AAAI,1812.03621,10.1609/aaai.v33i01.33018981,https://arxiv.org/pdf/1812.03621.pdf
057dfb33380f8cadea486bbc8c26b8331eac2e2b,1,0,0,Learning a Neural Solver for Multiple Object Tracking,"Graphs offer a natural way to formulate Multiple Object Tracking (MOT) within the tracking-by-detection paradigm. However, they also introduce a major challenge for learning methods, as defining a model that can operate on such structured domain is not trivial. As a consequence, most learning-based work has been devoted to learning better features for MOT and then using these with well-established optimization frameworks. In this work, we exploit the classical network flow formulation of MOT to define a fully differentiable framework based on Message Passing Networks (MPNs). By operating directly on the graph domain, our method can reason globally over an entire set of detections and predict final solutions. Hence, we show that learning in MOT does not need to be restricted to feature extraction, but it can also be applied to the data association step. We show a significant improvement in both MOTA and IDF1 on three publicly available benchmarks. Our code is available at https://bit.ly/motsolv.",2020,2020 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),1912.07515,10.1109/cvpr42600.2020.00628,https://arxiv.org/pdf/1912.07515.pdf
